legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode, travelDuration ,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
77c267157c3cce109b9bb971eceb0258,4/17/2022,4/28/2022,LGA,OAK,QAA0OHEN, PT11H57M ,0,FALSE,FALSE,FALSE,668.84,747.1,4,2559,1651172400||1651191000||1651208340,2022-04-28T15:00:00.000-04:00||2022-04-28T19:10:00.000-05:00||2022-04-28T22:59:00.000-06:00,1651182660||1651204140||1651215420,2022-04-28T16:51:00.000-05:00||2022-04-28T21:49:00.000-06:00||2022-04-28T23:57:00.000-07:00,ORD||SLC||OAK,LGA||ORD||SLC,United||Delta||Delta,UA||DL||DL,Embraer 175 (Enhanced Winglets)||Airbus A320||Embraer 175 (Enhanced Winglets),10260||13140||7080,720||1251||588,coach||coach||coach
5b27586d08ddc1cb9e9d46b59f075b30,4/17/2022,4/28/2022,LGA,OAK,QAA0OHEN, PT12H38M ,0,FALSE,FALSE,FALSE,687.45,767.11,2,3115,1651141800||1651154400||1651179780,2022-04-28T06:30:00.000-04:00||2022-04-28T09:00:00.000-05:00||2022-04-28T14:03:00.000-07:00,1651151100||1651170600||1651187280,2022-04-28T08:05:00.000-05:00||2022-04-28T11:30:00.000-07:00||2022-04-28T16:08:00.000-07:00,ORD||SEA||OAK,LGA||ORD||SEA,United||Alaska Airlines||Alaska Airlines,UA||AS||AS,Airbus A319||Boeing 737-900||Embraer 175,9300||16200||7500,720||1723||672,coach||coach||coach
fc94b655c410144f86e3d1693aba53ed,4/17/2022,4/28/2022,LGA,OAK,BA7OA0MC, PT10H4M ,0,FALSE,FALSE,FALSE,693.02,773.1,9,2881,1651163700||1651176900||1651195200,2022-04-28T12:35:00.000-04:00||2022-04-28T15:15:00.000-05:00||2022-04-28T18:20:00.000-07:00,1651174920||1651190880||1651199940,2022-04-28T14:42:00.000-05:00||2022-04-28T17:08:00.000-07:00||2022-04-28T19:39:00.000-07:00,MSP||LAX||OAK,LGA||MSP||LAX,Delta||Delta||Delta,DL||DL||DL,Airbus A319||Airbus A321||Embraer 175 (Enhanced Winglets),11220||13980||4740,1009||1534||338,coach||coach||coach
0d64c9fd9fdc7809e255cb6e6e322e53,4/17/2022,4/28/2022,LGA,OAK,BA7OA0MC, PT10H57M ,0,FALSE,FALSE,FALSE,693.02,773.1,9,2937,1651176000||1651188960||1651208340,2022-04-28T16:00:00.000-04:00||2022-04-28T19:36:00.000-04:00||2022-04-28T22:59:00.000-06:00,1651185060||1651203840||1651215420,2022-04-28T18:31:00.000-04:00||2022-04-28T21:44:00.000-06:00||2022-04-28T23:57:00.000-07:00,ATL||SLC||OAK,LGA||ATL||SLC,Delta||Delta||Delta,DL||DL||DL,Airbus A321||Boeing 757||Embraer 175 (Enhanced Winglets),9060||14880||7080,762||1587||588,coach||coach||coach
23e45338f9dfe649ed7675fd280eaa41,4/17/2022,4/28/2022,LGA,OAK,BA7OA0MC, PT11H39M ,0,FALSE,FALSE,FALSE,693.02,773.1,9,2587,1651173480||1651195020||1651208340,2022-04-28T15:18:00.000-04:00||2022-04-28T20:17:00.000-05:00||2022-04-28T22:59:00.000-06:00,1651184760||1651205400||1651215420,2022-04-28T17:26:00.000-05:00||2022-04-28T22:10:00.000-06:00||2022-04-28T23:57:00.000-07:00,MSP||SLC||OAK,LGA||MSP||SLC,Delta||Delta||Delta,DL||DL||DL,Airbus A319||Airbus A321||Embraer 175 (Enhanced Winglets),11280||10380||7080,1009||990||588,coach||coach||coach
9d35d71eb92778d21a10b41b2eabae40,4/17/2022,4/28/2022,LGA,OAK,BA7OA0MC, PT11H39M ,0,FALSE,FALSE,FALSE,693.02,773.1,1,2587,1651173480||1651186800||1651208340,2022-04-28T15:18:00.000-04:00||2022-04-28T18:00:00.000-05:00||2022-04-28T22:59:00.000-06:00,1651184760||1651197480||1651215420,2022-04-28T17:26:00.000-05:00||2022-04-28T19:58:00.000-06:00||2022-04-28T23:57:00.000-07:00,MSP||SLC||OAK,LGA||MSP||SLC,Delta||Delta||Delta,DL||DL||DL,Airbus A319||Boeing 737-900||Embraer 175 (Enhanced Winglets),11280||10680||7080,1009||990||588,coach||coach||coach
7f1dec35d9c307f4b9e678b8a754d433,4/17/2022,4/28/2022,LGA,OAK,BA7OA0MC, PT11H59M ,0,FALSE,FALSE,FALSE,693.02,773.1,1,2559,1651172280||1651191000||1651208340,2022-04-28T14:58:00.000-04:00||2022-04-28T20:10:00.000-04:00||2022-04-28T22:59:00.000-06:00,1651179600||1651205400||1651215420,2022-04-28T17:00:00.000-04:00||2022-04-28T22:10:00.000-06:00||2022-04-28T23:57:00.000-07:00,DTW||SLC||OAK,LGA||DTW||SLC,Delta||Delta||Delta,DL||DL||DL,Airbus A319||Airbus A321||Embraer 175 (Enhanced Winglets),7320||14400||7080,485||1486||588,coach||coach||coach
0cd17a425597a720ad69d100116dc4ee,4/17/2022,4/28/2022,LGA,OAK,BA7OA0MC, PT11H59M ,0,FALSE,FALSE,FALSE,693.02,773.1,2,2559,1651172280||1651184100||1651208340,2022-04-28T14:58:00.000-04:00||2022-04-28T18:15:00.000-04:00||2022-04-28T22:59:00.000-06:00,1651179600||1651198440||1651215420,2022-04-28T17:00:00.000-04:00||2022-04-28T20:14:00.000-06:00||2022-04-28T23:57:00.000-07:00,DTW||SLC||OAK,LGA||DTW||SLC,Delta||Delta||Delta,DL||DL||DL,Airbus A319||Boeing 737-900||Embraer 175 (Enhanced Winglets),7320||14340||7080,485||1486||588,coach||coach||coach
cf26909ee3414265bba471912bf044f0,4/17/2022,4/28/2022,LGA,OAK,BA7OA0MC, PT12H12M ,0,FALSE,FALSE,FALSE,693.02,773.1,9,2937,1651171500||1651188960||1651208340,2022-04-28T14:45:00.000-04:00||2022-04-28T19:36:00.000-04:00||2022-04-28T22:59:00.000-06:00,1651180500||1651203840||1651215420,2022-04-28T17:15:00.000-04:00||2022-04-28T21:44:00.000-06:00||2022-04-28T23:57:00.000-07:00,ATL||SLC||OAK,LGA||ATL||SLC,Delta||Delta||Delta,DL||DL||DL,Airbus A320||Boeing 757||Embraer 175 (Enhanced Winglets),9000||14880||7080,762||1587||588,coach||coach||coach
874c3125d661f7574756427e0ccb2171,4/17/2022,4/28/2022,LGA,OAK,BA7OA0MC, PT12H39M ,0,FALSE,FALSE,FALSE,693.02,773.1,1,2615,1651169880||1651182600||1651208340,2022-04-28T14:18:00.000-04:00||2022-04-28T17:50:00.000-04:00||2022-04-28T22:59:00.000-06:00,1651177740||1651196880||1651215420,2022-04-28T16:29:00.000-04:00||2022-04-28T19:48:00.000-06:00||2022-04-28T23:57:00.000-07:00,CVG||SLC||OAK,LGA||CVG||SLC,Delta||Delta||Delta,DL||DL||DL,Canadair Regional Jet 900||Boeing 737-800||Embraer 175 (Enhanced Winglets),7860||14280||7080,580||1447||588,coach||coach||coach
